France,English
de,of
je,I
est,is
pas,not
le,the
que,that
la,the
vous,you
tu,you
un,a
c',vs'
à,at
et,and
il,he
a,has
l',I'
ne,not
les,them
j',I
en,in
on,we
ça,that
une,a
d',d '
ce,this
qu',that
pour,for
ai,have
n',not'
des,of the
qui,who
mais,but
dans,in
nous,we
elle,she
me,me
bien,good
si,if
du,from
y,Y
suis,am
non,Nope
t',t '
avec,with
tout,everything
plus,more
mon,my 
m',M '
te,you
au,to
fait,do
moi,me
s',s'
oui,yes
va,go
était,was
as,AS
faire,TO DO
ils,they
sur,on
quoi,what
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,you
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,why
où,where
là,the
rien,nothing
cette,this
sont,are
quand,when
peux,can
dire,say
son,his
avez,have
vais,go
alors,then
ton,your
comment,How? 'Or' What
par,by
ou,Where
chose,thing
bon,Well
ont,have
merci,thank you
juste,just
très,very
jamais,never
été,summer
aussi,too
avoir,have
vraiment,really
voir,see
même,same
sa,her
oh,Oh
maintenant,now
tous,all
peut,may
deux,of them
ces,these
êtes,are
allez,come on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,still
encore,Again
notre,our
mes,my
besoin,need
avait,had
accord,OK
faut,should
dois,must
vie,life
peut-être,maybe
aller,go
fois,time
vu,seen
donc,so
sans,without
monde,world
étais,is
parce,by
avant,before
sûr,sure
trop,too
quelqu',someone
parler,talk
personne,nobody
avais,had
père,dad
crois,believe
après,after
aux,to
dieu,god
ouais,yeah
ses,his
pense,think
eu,eu
aime,love
leur,their
homme,man
viens,come
vrai,true
femme,women
ok,OK
doit,must
veut,wanna
ans,year
m.,m.
mal,wrong
chez,at the house of
déjà,already
depuis,from
beaucoup,a lot
vos,your
bonne,good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,daughter
tes,your 
gens,people
quel,what
vois,see 
désolé,sorry
ca,that
voilà,so
avons,have
petit,little
maison,home
soit,that is
cela,that
autres,others
toute,all
soir,evening
passé,past
prendre,take
jour,day
monsieur,sir
nos,our
savoir,to know
choses,things
salut,Hello
cet,this
nom,name
argent,silver
bonjour,hello
nuit,night
raison,raison
moins,less
arrive,arrived
maman,mom
reste,rest
moment,moment
voulais,wanted
seul,only
aider,to help
air,air
entre,Between
papa,father
passe,pass
aurais,would have
problème,problem
ah,ah
peur,fear
regarde,looked
voulez,want
gars,guys
trouvé,found
fils,son
attends,hold on
savez,know
jusqu',up to
trouver,to find
trois,three
assez,enough
famille,family
dû,from
eh,eh
toutes,all
plaît,jail
pourrait,could
travail,work
pris,taken
pu,could
tête,head
quelle,what
sait,knows
sommes,are
appelle,call
quelques,some 
faites,done
partir,leave
vite,quick
arrête,stopped
seule,only
serait,would be
voiture,car
enfants,children
tuer,kill
merde,shit
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,go
elles,they
jours,days
grand,big
aujourd'hui,today
venir,come
ami,friend
demain,tomorrow
hein,eh
tard,late
puis,then
truc,thing
passer,pass
petite,small
tant,so much
connais,know
combien,How many
mec,dude
sens,meaning
pouvez,can
porte,gate
sortir,go out
super,Great
heure,hour
contre,versus
coup,cut
comprends,understand
entendu,understood
vient,come
allons,lets go
ensemble,together
nouveau,new
amour,love
importe,imported
sang,blood
désolée,sorry
cas,case
sous,under
rester,stay
amis,friends
prends,take
fini,finished
hommes,men
tué,kill
question,question
partie,part
histoire,story
devrais,should
aide,assistance
dernière,last
demande,request
chercher,look for
pensais,thought
genre,gender
seulement,only
police,police
car,because
mois,month
frère,brother
laisser,let
aucun,none
mettre,put
eux,them
laisse,leave alone
chaque,each
ville,town
arrivé,come
devrait,should
parlé,speak
avez-vous,have you got
vont,are going
longtemps,long time
aucune,none
heures,hours
bébé,baby
place,square
revoir,see again
putain,whore
compris,understood
ni,neither
savais,knew
leurs,their
étaient,were
attention,Warning
donner,give
affaire,affair
endroit,place
pourrais,could
corps,body
façon,way
donné,given
est-il,is it
voici,here is
train,train
dont,whose
écoute,listen
yeux,eyes
trouve,find
pouvoir,power
type,kind
perdu,lost
premier,first
première,first
côté,side
point,point
tellement,so much
main,hand
tiens,here
sois,be
enfant,child
vieux,old
matin,morning
venu,came
pardon,sorry
là-bas,the low
suite,after
vers,towards
minutes,minutes
demandé,demand
venez,come
devant,before
dr,DR
enfin,finally
arrêter,Stop
cause,cause
nouvelle,news
attendez,wait
chambre,bedroom
droit,right
parti,left
mis,put
eau,water
compte,account
dirait,would say
terre,earth
belle,beautiful
espère,hope
aimerais,would like to
loin,far
as-tu,Do you have
mari,husband
donne,given
fin,end
croire,to believe
mme,Mrs
aura,will have
gros,big
boulot,gig
plutôt,instead
chérie,dear
prêt,ready
filles,girls
bureau,desk
mourir,die
hier,yesterday
possible,possible
jouer,to play
demander,ask
celui,the one
voulait,wanted to
beau,beautiful
jeune,young
euh,uh
dehors,out
docteur,doctor
a-t-il,does he have
confiance,trust
appeler,to call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,daytime
madame,madam
hey,hey
téléphone,telephone
près,close
affaires,business
meilleur,better
devez,must
dessus,above
mains,hands
penses,thinking
prie,pray
équipe,crew
vas-y,go ahead
grande,big
manger,to eat
arriver,to arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,walking
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,ben
mariage,wedding
parents,parents
capitaine,captain
dernier,last
fou,mad
ceux,those
tomber,to fall
attendre,expect
vue,seen
pensé,think
souviens,remember
envie,urge
fête,Party
jeu,Game
génial,great
pays,country
garde,keep
cours,Classes
bientôt,soon
ii,II
numéro,number
personnes,people
cinq,five
parfait,perfect
excusez-moi,excuse me
laissé,leave alone
ainsi,Thus
retour,return
semble,seems
autant,as much
peine,sadness
minute,minute
essayé,tried
plan,plan
instant,moment
serai,will be
prison,jail
penser,think
essayer,try
prend,take
arme,armed
mauvais,Wrong
mot,word
travailler,work
quatre,four
rentrer,to return
regarder,to look at
choix,choice
êtes-vous,are you
parfois,sometimes
film,film
abord,on board
voyez,see
faute,mistake
facile,easy
croyais,believed
bas,down
changer,to change
entendre,To hear
plaisir,pleasure
heureux,happy
entrer,walk in
voudrais,would like
es-tu,are you
propre,own
étiez,have been
tour,round
fera,will
ensuite,afterwards
garder,To keep
agent,agent
allait,was going to
lit,bed
travaille,work
adore,adore
amie,friend
rendre,to return
allons-y,Let's go there
route,road
lieu,venue
année,year
voit,sees
commence,begin
service,service
devoir,to have to
attend,waits
drôle,funny
difficile,hard
sûre,safe
pire,worse 
pos,post
peuvent,can
sujet,topic
état,state
ceci,this
impossible,impossible
sorte,sort
perdre,to lose
dollars,dollars
voulu,desired
morte,dead
ira,will go
faisait,did
bizarre,weird
oublié,forgot
arrêtez,Stop
ferai,will do
serais,would be
tôt,early
inquiète,worry
payer,pay
coeur,heart
dès,of the
pouvais,could
reviens,come back
chien,dog 
suffit,enough
prenez,take
pensez,think
café,coffee
calme,calm
cherche,look for
montrer,to show
parles,speak
photo,Photo
ferme,closed
problèmes,problems
the,tea
cœur,heart
sûrement,surely
verre,glass
aimes,love
devons,owe
veulent,want
doute,doubt
musique,music
courant,running
sauf,except
moyen,medium
nouvelles,new
puis-je,can I
avis,notice
sauver,save
hôpital,hospital
questions,Questions
meurtre,murder
sérieux,serious
seconde,second
trucs,stuff
comprendre,to understand
allais,alla
esprit,spirit
cool,cool
mlle,Ms
marché,market
fous,crazy
laisse-moi,leave me
haut,high
salle,Hall
malade,sick
changé,exchange
gentil,kindly
allé,go
six,six
simple,simple
john,john
semaines,weeks
celle,that
jack,jack
appris,learned
seigneur,lord
dîner,having dinner
sors,go outside
commencé,started
suppose,Assumed
chemin,path
partout,everywhere
bras,arms
cul,ass
prochaine,next
visage,face
h,h
meilleure,best
face,face
soirée,evening
roi,King
surtout,above all
retard,delay
écrit,writing
livre,book
rapport,report
chéri,Dear
message,message
voulez-vous,Do you want to
vaut,worth
ferais,would do
morts,dead
boire,to drink
soyez,be
président,President
plait,beating
bois,wood
sinon,otherwise
erreur,mistake
new,new
ecoute,listen
mr,MR
rentre,go home
rendez-vous,appointment
devait,had to
revenir,come back
joue,play
pauvre,poor
devenir,become
s,s
rencontrer,to encounter
sort,spell
commencer,begin
pouvait,could
occupe,to keep busy
entends,hear
souvent,often
pièce,room
reçu,received
grave,severe
mets,put
intérieur,interior
honneur,honor
dormir,sleep
an,year
faux,fake
messieurs,gentlemen
groupe,band
rêve,dream
carte,map 
aviez,had
appel,call
manque,lack
envoyé,sent
début,beginning
sam,sat
puisse,may
écoutez,Listen
laissez-moi,leave me
bonsoir,good evening
content,happy
secret,secret
venue,come
cher,dear
dis-moi,tell me
effet,effect
voyons,let's see
sac,bag
continue,keep on going
acheter,to buy
voix,voice
certains,some
occuper,to occupy
noël,Xmas
gagner,to win
grâce,grace
maître,master
prix,price
mauvaise,bad
général,general
âge,age
long,long
rue,street
tirer,pull
apprendre,learn
cheveux,hair
noir,black
promis,promised
avaient,had
patron,boss
avocat,lawyer
force,strength
accident,accident
dix,ten
probablement,most likely
laissez,leave
bout,end 
ordre,order
armes,weapons
cru,believed
déteste,hated
retrouver,to regain
millions,millions
incroyable,unbelievable
voyage,travel
ailleurs,somewhere else
oublie,forget
ressemble,looks like
bienvenue,welcome
disparu,faded away
protéger,protect
utiliser,utilize
situation,situation
petits,small
aurai,will have
veux-tu,do you want
connaissez,know
simplement,merely
scène,stage
sœur,sister
prête,ready
oncle,uncle
devriez,should
liste,listing
soeur,sister
complètement,completely
dos,back
armée,army
paix,peace
battre,to beat
york,york
crime,crime
anniversaire,anniversary
finir,finish
réussi,successful
agit,act
i,I
retourner,flip
sale,dirty
libre,free
bouge,move
contrôle,control
rappelle,remember
arrêté,stopped
hôtel,hotel
idiot,idiot
okay,Okay
rencontré,meet
restez,Stay
absolument,absolutely
mots,words
victime,victim
